# Fasit lest direkte fra Kongsberg-panelet i hvert C-bilde.
# Dette er GROUND TRUTH for verifisering - den mates ALDRI inn i deteksjonen,
# kun brukt av verify_cset.py til Aa sammenligne mot vaare beregnede poeng.
#
# Format (whitespace-separert):
#   navn   antall   S-10(heltallssum)   desimaler(komma-separert)
# X (innertier) er skrevet som 10.x. Desimalene er sortert stigende.
# Verifisert visuelt fra panelbildene 2026-06-30.
#
# navn  ant  sum  desimaler
C1    5   46   9.3, 9.3, 9.4, 9.8, 10.3
C2    5   40   7.7, 8.0, 8.1, 8.7, 9.6
# C3: ekte fasit = 10 treff (sum=84), men det siste 10.5-treffet er fullstendig
# skjult av det forrige 10.5-treffet og kan ikke detekteres. Maal: 9/10.
C3    9   74   5.4, 6.1, 7.8, 9.0, 9.0, 9.1, 9.3, 10.5, 10.6
C4    5   46   9.0, 9.1, 9.6, 9.8, 10.4
C5    6   52   5.6, 8.5, 9.2, 10.2, 10.2, 10.4
C6    5   43   8.2, 8.4, 9.5, 9.6, 9.8
C7    5   37   4.7, 7.3, 7.9, 9.2, 10.0
C8    6   55   8.8, 9.1, 9.4, 9.8, 10.1, 10.8
C9    3   25   8.6, 8.8, 9.2
C10   5   46   9.3, 9.5, 9.9, 9.9, 10.9
