"2026-06-12 13:27:25" | Real 1 | detect_outer_circle | preprocess | 53,969145
"2026-06-12 13:27:26" | Real 1 | detect_outer_circle | pass1 | 1000,404119
"2026-06-12 13:27:26" | Real 1 | detect_outer_circle | pass2 | 47,549963
"2026-06-12 13:27:26" | Real 1 | detect_outer_circle | nms | 105,886936
"2026-06-12 13:27:26" | Real 1 | detect_outer_circle | build_thinned_pointset | 112,254858
"2026-06-12 13:27:26" | Real 1 | detect_outer_circle | total | 1329,427242
"2026-06-12 13:27:28" | Real 1 | detect_outer_circle | polar_transform (theta=720, r=600, r_max=281,1, center=c0_pass1) | 5,011900
"2026-06-12 13:27:28" | Real 1 | analyze_target | ring_calibration | 184,530258
"2026-06-12 13:27:28" | Real 1 | analyze_target | perspective_rectify | 297,816753
"2026-06-12 13:27:29" | Real 1 | analyze_target | hit_detection | 396,627903
"2026-06-12 13:27:30" | Real 1 | program | uforklart_tid | 3212,556974
